"X1","X2","X3","X4","X5","Y1"
"Muy alto","Bajo","Muy alto","Muy bajo","Moderadamente bajo","HL2"
"Muy alto","Bajo","Muy alto","Bajo","Moderadamente bajo","HL2"
"Muy alto","Bajo","Muy alto","Medio","Moderadamente bajo","HL2"
"Muy alto","Bajo","Muy alto","Alto","Moderadamente bajo","HL2"
"Muy alto","Bajo","Muy alto","Muy bajo","Moderadamente bajo","HL3"
"Muy alto","Bajo","Muy alto","Bajo","Moderadamente bajo","HL3"
"Muy alto","Bajo","Muy alto","Medio","Moderadamente bajo","HL3"
"Muy alto","Bajo","Muy alto","Alto","Moderadamente bajo","HL2"
"Muy alto","Bajo","Muy alto","Muy bajo","Moderadamente bajo","HL2"
"Muy alto","Bajo","Muy alto","Bajo","Moderadamente bajo","HL2"
"Muy alto","Bajo","Muy alto","Medio","Moderadamente bajo","HL2"
"Muy alto","Bajo","Muy alto","Alto","Moderadamente bajo","HL2"
"Muy alto","Medio","Muy alto","Muy bajo","Moderadamente bajo","HL2"
"Muy alto","Medio","Muy alto","Bajo","Moderadamente bajo","HL2"
"Muy alto","Medio","Muy alto","Medio","Moderadamente bajo","HL2"
"Muy alto","Medio","Muy alto","Alto","Moderadamente bajo","HL2"
"Muy alto","Medio","Muy alto","Muy bajo","Moderadamente bajo","HL3"
"Muy alto","Medio","Muy alto","Bajo","Moderadamente bajo","HL3"
"Muy alto","Medio","Muy alto","Medio","Moderadamente bajo","HL3"
"Muy alto","Medio","Muy alto","Alto","Moderadamente bajo","HL3"
"Muy alto","Muy alto","Muy alto","Muy bajo","Moderadamente bajo","HL3"
"Muy alto","Muy alto","Muy alto","Bajo","Moderadamente bajo","HL3"
"Muy alto","Muy alto","Muy alto","Medio","Moderadamente bajo","HL3"
"Muy alto","Muy alto","Muy alto","Alto","Moderadamente bajo","HL3"
"Muy bajo","Muy bajo","Muy alto","Muy bajo","Moderadamente bajo","HL1"
"Muy bajo","Muy bajo","Muy alto","Bajo","Moderadamente bajo","HL1"
"Muy bajo","Muy bajo","Muy alto","Medio","Moderadamente bajo","HL1"
"Muy bajo","Muy bajo","Muy alto","Alto","Moderadamente bajo","HL1"
"Muy bajo","Muy bajo","Muy alto","Muy bajo","Moderadamente bajo","HL1"
"Muy bajo","Muy bajo","Muy alto","Bajo","Moderadamente bajo","HL1"
"Muy bajo","Muy bajo","Muy alto","Medio","Moderadamente bajo","HL1"
"Muy bajo","Muy bajo","Muy alto","Alto","Moderadamente bajo","HL1"
"Muy bajo","Bajo","Muy alto","Muy bajo","Moderadamente bajo","HL1"
"Muy bajo","Bajo","Muy alto","Bajo","Moderadamente bajo","HL1"
"Muy bajo","Bajo","Muy alto","Medio","Moderadamente bajo","HL1"
"Muy bajo","Bajo","Muy alto","Alto","Moderadamente bajo","HL1"
"Muy bajo","Medio","Muy alto","Muy bajo","Moderadamente bajo","HL1"
"Muy bajo","Medio","Muy alto","Bajo","Moderadamente bajo","HL1"
"Muy bajo","Medio","Muy alto","Medio","Moderadamente bajo","HL1"
"Muy bajo","Medio","Muy alto","Alto","Moderadamente bajo","HL1"
"Muy bajo","Medio","Muy alto","Muy bajo","Moderadamente bajo","HL2"
"Muy bajo","Medio","Muy alto","Bajo","Moderadamente bajo","HL2"
"Muy bajo","Medio","Muy alto","Medio","Moderadamente bajo","HL2"
"Muy bajo","Medio","Muy alto","Alto","Moderadamente bajo","HL2"
"Muy bajo","Alto","Muy alto","Muy bajo","Moderadamente bajo","HL1"
"Muy bajo","Alto","Muy alto","Bajo","Moderadamente bajo","HL1"
"Muy bajo","Alto","Muy alto","Medio","Moderadamente bajo","HL1"
"Muy bajo","Alto","Muy alto","Alto","Moderadamente bajo","HL1"
"Muy alto","Bajo","Alto","Muy bajo","Moderadamente bajo","HL3"
"Muy alto","Bajo","Alto","Bajo","Moderadamente bajo","HL3"
"Muy alto","Bajo","Alto","Medio","Moderadamente bajo","HL3"
"Muy alto","Bajo","Alto","Alto","Moderadamente bajo","HL3"
"Muy alto","Bajo","Alto","Muy bajo","Moderadamente bajo","HL3"
"Muy alto","Bajo","Alto","Bajo","Moderadamente bajo","HL3"
"Muy alto","Bajo","Alto","Medio","Moderadamente bajo","HL3"
"Muy alto","Bajo","Alto","Alto","Moderadamente bajo","HL3"
